especificacao,categoria,subcategoria,trimestre,periodo,ano,mes,valor
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Jan_2013,2013,Jan,932.857
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Jan_2013,2013,Jan,573.5
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Jan_2013,2013,Jan,278.84900000000005
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Jan_2013,2013,Jan,369.978
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Fev_2013,2013,Fev,815.327
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Fev_2013,2013,Fev,509.969
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Fev_2013,2013,Fev,294.37100000000004
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Fev_2013,2013,Fev,311.089
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Mar_2013,2013,Mar,718.571
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Mar_2013,2013,Mar,474.159
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Mar_2013,2013,Mar,271.355
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Mar_2013,2013,Mar,322.156
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Abr_2013,2013,Abr,817.359
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Abr_2013,2013,Abr,539.518
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Abr_2013,2013,Abr,329.8670000000001
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Abr_2013,2013,Abr,373.559
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Mai_2013,2013,Mai,607.623
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Mai_2013,2013,Mai,507.626
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Mai_2013,2013,Mai,266.44399999999996
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Mai_2013,2013,Mai,342.873
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Jun_2013,2013,Jun,542.961
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Jun_2013,2013,Jun,386.179
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Jun_2013,2013,Jun,240.31400000000002
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Jun_2013,2013,Jun,354.886
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Jul_2013,2013,Jul,468.416
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Jul_2013,2013,Jul,345.875
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Jul_2013,2013,Jul,381.91
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Jul_2013,2013,Jul,434.529
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Ago_2013,2013,Ago,582.2850000000001
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Ago_2013,2013,Ago,440.298
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Ago_2013,2013,Ago,337.27000000000004
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Ago_2013,2013,Ago,391.814
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Set_2013,2013,Set,632.6679999999999
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Set_2013,2013,Set,416.662
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Set_2013,2013,Set,363.97799999999995
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Set_2013,2013,Set,368.161
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Out_2013,2013,Out,750.7180000000001
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Out_2013,2013,Out,511.359
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Out_2013,2013,Out,413.392
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Out_2013,2013,Out,417.845
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Nov_2013,2013,Nov,622.267
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Nov_2013,2013,Nov,438.381
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Nov_2013,2013,Nov,305.53499999999997
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Nov_2013,2013,Nov,336.168
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Dez_2013,2013,Dez,599.588
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Dez_2013,2013,Dez,423.86
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Dez_2013,2013,Dez,220.764
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Dez_2013,2013,Dez,258.366
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Jan_2014,2014,Jan,804.51
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Jan_2014,2014,Jan,612.938
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Jan_2014,2014,Jan,311.252
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Jan_2014,2014,Jan,349.036
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Fev_2014,2014,Fev,627.607
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Fev_2014,2014,Fev,415.815
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Fev_2014,2014,Fev,250.10500000000002
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Fev_2014,2014,Fev,279.096
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Mar_2014,2014,Mar,563.427
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Mar_2014,2014,Mar,422.542
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Mar_2014,2014,Mar,315.45500000000004
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Mar_2014,2014,Mar,343.111
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Abr_2014,2014,Abr,650.015
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Abr_2014,2014,Abr,495.299
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Abr_2014,2014,Abr,365.064
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Abr_2014,2014,Abr,396.968
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Mai_2014,2014,Mai,544.934
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Mai_2014,2014,Mai,451.62
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Mai_2014,2014,Mai,415.809
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Mai_2014,2014,Mai,390.672
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Jun_2014,2014,Jun,733.4090000000001
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Jun_2014,2014,Jun,514.095
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Jun_2014,2014,Jun,325.186
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Jun_2014,2014,Jun,330.459
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Jul_2014,2014,Jul,900.221
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Jul_2014,2014,Jul,653.383
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Jul_2014,2014,Jul,408.707
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Jul_2014,2014,Jul,396.113
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Ago_2014,2014,Ago,775.808
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Ago_2014,2014,Ago,587.238
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Ago_2014,2014,Ago,373.079
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Ago_2014,2014,Ago,367.931
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Set_2014,2014,Set,1156.7240000000002
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Set_2014,2014,Set,714.205
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Set_2014,2014,Set,375.93
