especificacao,categoria,subcategoria,trimestre,periodo,ano,mes,quantidade
Producao.Aco Bruto,Producao,Aco Bruto,1,Jan_2013,2013,Jan,2769.437
Producao.Planos,Producao,Planos,1,Jan_2013,2013,Jan,1202.482
Producao.Longos,Producao,Longos,1,Jan_2013,2013,Jan,848.959
Producao.Placas,Producao,Placas,1,Jan_2013,2013,Jan,394.66
Producao.Blocos,Producao,Blocos,1,Jan_2013,2013,Jan,75.711
Producao.Ferro-Gusa,Producao,Ferro-Gusa,1,Jan_2013,2013,Jan,2178.041
Vinterna.Planos,Vinterna,Planos,1,Jan_2013,2013,Jan,1088.146
Vinterna.Longos,Vinterna,Longos,1,Jan_2013,2013,Jan,764.685
Vinterna.Placas,Vinterna,Placas,1,Jan_2013,2013,Jan,31.043
Vinterna.Blocos,Vinterna,Blocos,1,Jan_2013,2013,Jan,21.945
Vexterna.Planos,Vexterna,Planos,1,Jan_2013,2013,Jan,178.471
Vexterna.Longos,Vexterna,Longos,1,Jan_2013,2013,Jan,70.155
Vexterna.Placas,Vexterna,Placas,1,Jan_2013,2013,Jan,426.772
Vexterna.Blocos,Vexterna,Blocos,1,Jan_2013,2013,Jan,41.968
Cexterior.Planos,Cexterior,Planos,1,Jan_2013,2013,Jan,211.669
Cexterior.Longos,Cexterior,Longos,1,Jan_2013,2013,Jan,119.328
Cexterior.Placas,Cexterior,Placas,1,Jan_2013,2013,Jan,547.595
Cexterior.Blocos,Cexterior,Blocos,1,Jan_2013,2013,Jan,54.265
Importacao.Planos,Importacao,Planos,1,Jan_2013,2013,Jan,140.752
Importacao.Longos,Importacao,Longos,1,Jan_2013,2013,Jan,136.901
Importacao.Semiacabados p/ Venda,Importacao,Semiacabados p/ Venda,1,Jan_2013,2013,Jan,1.196
Caparente.Planos,Caparente,Planos,1,Jan_2013,2013,Jan,1261.809
Caparente.Longos,Caparente,Longos,1,Jan_2013,2013,Jan,905.896
Producao.Aco Bruto,Producao,Aco Bruto,1,Fev_2013,2013,Fev,2574.894
Producao.Planos,Producao,Planos,1,Fev_2013,2013,Fev,1144.078
Producao.Longos,Producao,Longos,1,Fev_2013,2013,Fev,798.758
Producao.Placas,Producao,Placas,1,Fev_2013,2013,Fev,417.568
Producao.Blocos,Producao,Blocos,1,Fev_2013,2013,Fev,63.225
Producao.Ferro-Gusa,Producao,Ferro-Gusa,1,Fev_2013,2013,Fev,1999.501
